node,nx_lapl_centr
MLI,0.00014211649679925968
MLT,5.4304675069271696e-05
MMR,0.0010666753576319178
MNG,0.0007867261677355407
MOZ,0.00018683465910863584
MRT,9.312918425889892e-05
MTQ,7.046939545620113e-05
MUS,0.00015390985657821283
MWI,4.749807561169519e-05
MYS,0.008250209383334007
NAM,6.707859076051447e-05
NCL,0.00015434059719974838
NER,7.245786642254658e-05
NGA,0.0022710698961223527
NIC,0.00013938467383083376
NLD,0.004134406892374039
NOR,0.0005400339169399073
NPL,0.0002233497113845988
NZL,0.0008031881815547799
OMN,0.0016088741342691873
PAK,0.005020741776092017
PAN,0.0003997692447570254
PER,0.0013737984780914027
PHL,0.004967809604496051
PLW,3.546249739782946e-05
PNG,0.0001583225938224806
POL,0.009648703955378228
PRI,8.78265662445006e-06
PRK,0.00103662595038844
PRT,0.00121068415452144
PRY,0.00019376034311298414
PYF,2.411817290226737e-05
QAT,0.00210992573381959
REU,6.464631424477266e-05
ROU,0.0020726385746604598
RUS,0.060920310359779635
RWA,3.0107462964322713e-05
SAU,0.017704207006260797
SCG,0.002227119119957927
SDN,0.0005990838260238404
SEA,0.003710266471392152
SEN,0.0003033422169792046
SGP,0.001542448228840436
SHN,5.045388759872409e-07
SLB,8.025624733863402e-06
SLE,2.419757660101594e-05
SLV,0.00019003173076370954
SOM,2.0188796946443707e-05
SPM,3.3651132043671356e-06
STP,3.910751695589325e-06
SUR,7.235566562317936e-05
SVK,0.0006901260547021578
SVN,0.00039874320318408367
SWE,0.0009323721777764265
SWZ,4.02815273784836e-05
SYC,2.4618059248172605e-05
SYR,0.0007961350002041556
TCA,8.71222550965562e-06
TCD,4.802620222617995e-05
TGO,4.344816198529502e-05
THA,0.007803631799941238
TJK,0.00018663997210656934
TKM,0.0015027002468531744
TLS,1.3577993401547814e-05
TON,4.212475234888864e-06
TTO,0.00043629091506094806
TUN,0.0007870006548395608
TUR,0.011304717317343647
TWN,0.009754237429342106
TZA,0.0003420417420889447
UGA,0.0001498860798745384
UKR,0.005697247597131339
URY,0.0001299693662738162
USA,0.1877659105869923
UZB,0.0029897280879107426
VCT,8.141589998382094e-06
VEN,0.002389786653638861
VGB,6.365703057649928e-06
VNM,0.010850950812201722
VUT,5.531344715993815e-06
WSM,8.969011089969272e-06
YEM,0.0002555814604262146
ZAF,0.01488279915542525
ZMB,0.00019920464869069258
ZWE,0.00040337092876843137
