Country,nx_lapl_centr_country
NAM,8.546631079176174e-05
MLI,0.0002889163991371145
SHN,4.3639802954721167e-07
GTM,0.001244825670886374
TLS,1.3761017619245187e-05
DEU,0.021632242000298604
TCD,0.0002755949285106932
ABW,4.089991333620061e-05
MUS,0.0001751901562907889
SVN,0.00041909346632812054
MKD,0.0002738195821424373
BRN,0.00018801727396961993
ARG,0.004854852435879973
FRA,0.008020872418308527
GRL,1.143970457024063e-05
TWN,0.008787466917358207
NOR,0.0006821597104032861
HRV,0.0004838235052963118
MNG,0.0007100687723318974
SYR,0.0007261988871517193
TKM,0.0014530849234519255
ZAF,0.014237976181195709
LCA,2.4114028839616974e-05
CRI,0.0002868163260599103
ESP,0.0063616456393546
SCG,0.0021016938284958934
ATG,2.4689956811629e-05
SUR,6.979431971636675e-05
HTI,0.0003030981181081547
