,Country_code_A3,Country_code_A3_birank
75,GMB,2.1684783261975e-05
76,GNB,4.822351651452644e-05
77,GNQ,0.00011451937027299395
78,GRC,0.0014930283323106627
79,GRD,1.0192571829244119e-05
80,GRL,8.710024055956615e-06
81,GTM,0.0009161088886382963
82,GUF,4.7619107319492485e-05
83,GUY,9.566809909455525e-05
84,HKG,0.0015252450075348806
85,HND,0.0004292347774935008
86,HRV,0.00037714565477884557
87,HTI,0.00019401743562639612
88,HUN,0.001118640982988108
89,IDN,0.0183802051578477
90,IND,0.08852761146530375
91,IRL,0.0007701180947088443
92,IRN,0.012557979420313137
93,IRQ,0.0038762949319981975
94,ISL,1.958461296107306e-05
95,ISR,0.001868425644300829
96,ITA,0.007924449318360147
97,JAM,0.00023415470514338415
98,JOR,0.0005533900541152644
99,JPN,0.03195616249606283
100,KAZ,0.0060084653602832305
101,KEN,0.0009676858113612589
102,KGZ,0.00018005089201780965
103,KHM,0.0005249037006108526
104,KIR,1.4823467411636546e-06
105,KNA,8.320126778563276e-06
106,KOR,0.01807364377994979
107,KWT,0.002549853773663151
108,LAO,0.0007808219375967472
109,LBN,0.0008231196774100332
110,LBR,0.00016361287297662699
111,LBY,0.0012711190008248135
112,LCA,2.2120973122902563e-05
113,LKA,0.0009127394193544347
114,LSO,4.8113134793102595e-05
115,LTU,0.0003130078149309699
116,LUX,0.00013944292742387935
117,LVA,0.0003114174529641523
118,MAC,5.015385470385304e-05
119,MAR,0.0018429943147281489
120,MDA,0.0002441576497445531
121,MDG,0.0003645313678167267
122,MDV,4.2652178876069594e-05
123,MEX,0.010520656590591928
124,MKD,0.00025600865554212043
125,MLI,0.00018522234734463723
126,MLT,4.3292721454143766e-05
127,MMR,0.00130577770594904
128,MNG,0.0007084094179820273
129,MOZ,0.0004474609133250442
130,MRT,0.00010450112488839878
131,MTQ,5.9844990114882584e-05
132,MUS,0.00016991336042305896
133,MWI,0.00018421655529555174
134,MYS,0.006966959546120718
135,NAM,5.301596026694067e-05
136,NCL,0.00013758381967834296
137,NER,0.00014530560452863047
138,NGA,0.005966215387722396
139,NIC,0.00022690895745904708
140,NLD,0.0038851001920177024
141,NOR,0.0005442687846622859
142,NPL,0.0006866844631635987
143,NZL,0.0007197891017849928
144,OMN,0.0013536469181541738
145,PAK,0.007077129797898141
146,PAN,0.00036799958838846657
147,PER,0.0013332413363738938
148,PHL,0.004704671383621883
149,PLW,2.7174504665099845e-05
150,PNG,0.00019432494501430393
151,POL,0.008760287174571718
152,PRI,8.24399307395523e-06
153,PRK,0.0010503997778284649
154,PRT,0.001348607120289285
155,PRY,0.00027822275963861455
156,PYF,1.8667869582405174e-05
157,QAT,0.0017888523980395664
158,REU,5.003331780931926e-05
159,ROU,0.001925728317866716
160,RUS,0.047701290105211
161,RWA,9.639938431665467e-05
162,SAU,0.014467845931848536
163,SCG,0.002019777990152172
164,SDN,0.0009031419420436967
165,SEA,0.0004191234541766452
166,SEN,0.00033596366577788985
167,SGP,0.0014422658665852303
168,SHN,3.533718466259934e-07
169,SLB,7.702867697596544e-06
170,SLE,0.00010923627781372893
171,SLV,0.0002124319401376957
172,SOM,0.00026589980675132454
173,SPM,2.8784863660626397e-06
174,STP,4.702782464756824e-06
175,SUR,6.178963874904197e-05
176,SVK,0.0007455505645292159
177,SVN,0.0003587486830598773
178,SWE,0.002636823908946766
179,SWZ,0.00016819598231935422
180,SYC,1.8579327507462623e-05
181,SYR,0.0006722371885527089
182,TCA,7.40658353848489e-06
183,TCD,0.0001645909996165705
184,TGO,9.28552816311854e-05
185,THA,0.011334954180597406
186,TJK,0.0001644671705773357
187,TKM,0.0012626685407221218
188,TLS,1.0910487351866608e-05
189,TON,3.2759719264325082e-06
190,TTO,0.0003569449054942617
191,TUN,0.0007015278496083469
192,TUR,0.009515667581365007
193,TWN,0.008574573009462542
194,TZA,0.001018493210745048
195,UGA,0.00110334282238504
196,UKR,0.005230259332900547
197,URY,0.00039946002925648897
198,USA,0.1182010074829772
199,UZB,0.0025563967248630392
200,VCT,7.796508250397457e-06
201,VEN,0.0019630127134725745
202,VGB,5.517114797489306e-06
203,VNM,0.010823542834251665
204,VUT,5.2625811407202796e-06
205,WSM,7.702438815385001e-06
206,YEM,0.00020330630042224163
207,ZAF,0.013251300932342312
208,ZMB,0.00046622829342986825
209,ZWE,0.0006601126121808917
