Country,nx_lapl_centr_country
PLW,7.663574264977235e-05
ARE,0.000285118230438949
LBY,0.000419407578698326
BRB,9.550220858189042e-05
ISR,0.0007413940026288633
ANT,0.0006080497924767572
URY,0.0004737661481180579
GEO,0.0016911163064244853
ZWE,0.001940993560113163
ZAF,0.014887505468280628
TJK,8.315660778042484e-05
ITA,0.019708254891365705
ALB,0.0003326690291902391
MRT,8.194120141327096e-05
RWA,0.00036831362293026975
VUT,2.3752279655332956e-06
ESH,3.5703193211834314e-06
PER,0.002294077865929359
LTU,0.0015010130251692736
IRL,0.0014037782554071371
CAF,0.00016254400390106928
VNM,0.003615050548316791
MDV,5.347975283446576e-07
AUT,0.0035999544212453067
CAN,0.026222504147529455
SWZ,0.00031991031332056873
TGO,0.00015283934456032913
MDA,0.0006897542105973777
MMR,0.002457743948429221
PRY,0.0004929420002463349
EST,0.0014040628943539498
HRV,0.0011363061391895476
SEN,0.000265260417033123
MUS,0.0004866090836052295
HND,0.0005797783010467975
BLR,0.004130968355022647
AIA,8.72064643484044e-08
SYC,5.746441023323861e-06
NLD,0.008057491767658301
SGP,0.0002854248054679298
SLV,0.0006694426411142183
CYP,0.00010682335172412453
GMB,2.6592378762595746e-05
HKG,0.0006391469878852875
IRN,0.00282798523287569
WSM,5.1296113184639985e-06
GUY,0.00040241506115675543
SWE,0.007933750227976837
AIR,0.0015023402416497508
BGD,0.0033695888591515795
POL,0.02037719230212512
SLB,3.7176595576538473e-06
MNG,0.00043503055268814486
DJI,3.9828288783263455e-05
BRA,0.023323001327939682
KEN,0.001528386560043948
AFG,6.340533647280996e-05
BGR,0.003180641931328826
PRI,5.264274543084113e-05
TZA,0.001298439372202749
SVN,0.0004244272568666135
PHL,0.003742603292158256
LBN,0.00032285577252336476
DZA,0.0004978940919434466
USA,0.5410670596521915
CMR,0.0008658856016543503
GBR,0.04700305568888205
ATG,1.1736648910609507e-05
COL,0.004299508144518622
NAM,7.346440934199438e-05
NCL,3.104529482409494e-05
GUF,2.470757551670969e-05
SUR,0.00011412820358095507
BEL,0.009429667772682294
PAK,0.006586224898614907
RUS,0.11944251977430244
TCA,5.967180286824135e-07
TLS,6.7676869777054295e-06
NZL,0.0008547324729173563
MEX,0.007561020990717904
LBR,0.00018002832386413033
JAM,0.0008192162030577747
LAO,0.0001788679677091932
OMN,4.540539263464529e-05
MAR,0.0007497496822456071
BOL,0.00039283528202329574
AUS,0.012958717532025758
GTM,0.0015672796204163253
SLE,0.0004692969421217217
COK,4.4067344528372104e-07
IDN,0.012969529527883447
CHE,0.001508821739354008
PNG,0.0001716411427601873
THA,0.0028596686218378005
BHR,9.051780390649022e-05
LCA,9.504941456724419e-06
UZB,0.0017257186323395772
DMA,9.767334385455397e-06
ETH,0.003324638150973596
DNK,0.004395754847608712
ARG,0.0064853394163000705
KIR,5.032631526014199e-07
LKA,0.0010500182468418011
IND,0.0565585752768707
LUX,0.001435272409708572
MTQ,3.909376371176415e-05
SAU,0.0007044305641872787
SVK,0.002542800687820679
QAT,0.00023074794409985304
FLK,9.395852974392634e-07
SEA,0.004969349034186886
MAC,8.500333665911984e-06
GNQ,6.283365145123462e-06
BLZ,0.00010220693133926418
MDG,0.0003770224323805837
TUR,0.00455266800030499
ECU,0.0008635772381256498
YEM,5.56068921657914e-05
DEU,0.08127549984192198
FIN,0.0037016996653360394
NGA,0.011072061101644604
BWA,5.9217561706392844e-05
TWN,0.0021566930347479553
ISL,9.376587080257727e-05
FJI,0.0003487047425771801
CPV,1.487886798519077e-05
NIC,0.000440878149873193
ABW,4.0322945831391225e-06
TCD,0.00030691338067160987
TTO,0.00016872595340507946
CHL,0.001674139115491442
HTI,0.0005928980240185429
BFA,0.0006152145573836545
